ncaa_id,team,player_id,name,jersey,height_ft,height_in,position_clean,year_clean,redshirt,hometown_clean,state_clean,country_clean
112,UC San Diego,11805,Izzy Forsyth,20,6,0,GUARD,Sophomore,0,"VANCOUVER, BC",,CANADA
721,Air Force,11806,Faith Shelton,13,6,2,FORWARD/CENTER,Freshman,0,"STOCKTON, CA",CA,USA
112,UC San Diego,11806,Julia Macabuhay,10,5,6,GUARD,Senior,1,"LOS ANGELES, CALIF",CA,USA
721,Air Force,11807,Mackenzie Le,1,5,3,GUARD,Freshman,0,"ELK GROVE, CA",CA,USA
112,UC San Diego,11807,Parker Montgomery,32,5,7,GUARD,Junior,0,"PORTER RANCH, CALIF",CA,USA
112,UC San Diego,11808,Bridget Mullings,24,6,3,CENTER,Sophomore,0,"PHOENIX, ARIZ",AZ,USA
112,UC San Diego,11809,Katie Springs,35,6,0,CENTER,Sophomore,0,"SAN JOSE, CALIF",CA,USA
112,UC San Diego,11810,Courtni Thompson,23,5,6,GUARD,Sophomore,0,"SAN JOSE, CALIF",CA,USA
112,UC San Diego,11820,Denali Pinto,14,6,0,GUARD,Graduate Student,0,"BOULDER, COLO",CO,USA
112,UC San Diego,11821,Gracie Gallegos,22,6,1,GUARD,Freshman,0,"DENVER, COLO",CO,USA
112,UC San Diego,11822,Gabby Louther,5,5,11,GUARD,Freshman,0,"PUEBLO WEST, COLO",CO,USA
112,UC San Diego,11823,Junae Mahan,25,5,8,GUARD,Freshman,0,"STOCKTON, CALIF",CA,USA
410,Merrimack,11824,Diamond Christian,2,5,5,GUARD,Senior,0,"BRONX, NY",NY,USA
112,UC San Diego,11824,Grace Talbot,2,5,7,GUARD,Freshman,0,"LITTLETON, COLO",CO,USA
410,Merrimack,11825,Jayme DeCesare,1,5,5,GUARD,Senior,0,"JOHNSTON, RI",RI,USA
410,Merrimack,11826,Alana Fursman,12,5,10,FORWARD,Senior,0,"PITTSFORD, NY",NY,USA
587,Rutgers,11827,Antonia Bates,4,6,3,GUARD/FORWARD,Freshman,0,"EASTON, PA",PA,USA
410,Merrimack,11827,Marissa Hamilton,30,6,0,FORWARD,Senior,1,"GREAT VALLEY, NEW YORK",NY,USA
587,Rutgers,11828,Kaylene Smikle,2,6,0,GUARD,Freshman,0,"FARMINGDALE, NY",NY,USA
410,Merrimack,11828,Molly Manion,24,5,11,GUARD,Sophomore,0,"WEST CHESTER, PENNSYLVANIA",PA,USA
587,Rutgers,11829,Kai Carter,24,6,0,GUARD,Senior,0,"ATLANTA, GA",GA,USA
410,Merrimack,11829,Antoinette Okoh,15,5,11,FORWARD,Sophomore,0,"BROCKTON, MASS",MA,USA
587,Rutgers,11830,Abby Streeter,31,5,11,GUARD,Graduate Student,0,"NASHUA, NH",NH,USA
410,Merrimack,11830,Ava Owens,3,5,10,GUARD,Sophomore,0,"PELHAM, NH",NH,USA
410,Merrimack,11831,Jada Powell,11,6,0,FORWARD,Senior,0,"DES MOINES, IOWA",IA,USA
410,Merrimack,11832,Amaya Staton,14,6,1,FORWARD,Junior,0,"LORAIN, OHIO",OH,USA
410,Merrimack,11833,Kaylee Thomas,5,5,9,GUARD,Senior,0,"NORTH CHELMSFORD, MASS",MA,USA
410,Merrimack,11834,Sidni Wise-Wright,0,6,0,FORWARD,Graduate Student,0,"LAS VEGAS, NEV",NV,USA
410,Merrimack,11835,Makenzie Bray,4,5,10,GUARD,Graduate Student,0,"SPRINGFIELD, ILL",IL,USA
410,Merrimack,11836,Lydia Melaschenko,22,5,7,GUARD,Freshman,0,"OTTAWA, ON",,CANADA
587,Rutgers,11839,Kassondra Brown,22,6,2,CENTER,Senior,0,"ABINGTON, PA",PA,USA
490,NC State,11854,Jada Boyd,5,6,2,FORWARD,Senior,0,"PETERSBURG, VA",VA,USA
236,Fordham,11875,Chloe Chaffin,,5,10,GUARD,Senior,1,"KINGSTON, NY",NY,USA
236,Fordham,11876,Kate Deutsch,40,5,11,FORWARD,Senior,0,"MARLTON, NJ",NJ,USA
236,Fordham,11877,Anna DeWolfe,2,5,8,GUARD,Senior,0,"CUMBERLAND, MAINE",ME,USA
236,Fordham,11878,Asiah Dingle,3,5,5,GUARD,Graduate Student,0,"BOSTON, MASS",MA,USA
236,Fordham,11879,Kaitlyn Downey,24,6,1,FORWARD,Graduate Student,0,"HASTINGS ON-HUDSON, NY",NY,USA
236,Fordham,11880,Matilda Flood,1,5,9,GUARD,Junior,0,"BATHURST, NEW SOUTH WALES, AUSTRALIA",,AUSTRALIA
236,Fordham,11881,Megan Jonassen,43,6,0,FORWARD,Graduate Student,0,"SCHWENKSVILLE, PA",PA,USA
236,Fordham,11882,Sarah Karpell,13,5,7,GUARD,Senior,0,"HOLMDEL, NJ",NJ,USA
236,Fordham,11883,Colleen McQuillen,33,5,10,GUARD,Sophomore,0,"CRESSKILL, NJ",NJ,USA
236,Fordham,11884,Maranda Nyborg,30,6,3,FORWARD,Junior,0,"BETHEL, CONN",CT,USA
236,Fordham,11885,Sophia Sabino,23,5,9,GUARD,Freshman,1,"RUMSON, NJ",NJ,USA
236,Fordham,11886,Lexie Tarul,22,5,10,GUARD,Freshman,1,"BRONX, NY",NY,USA
236,Fordham,11887,Kaila Berry,25,5,11,FORWARD,Freshman,0,"BROOKLYN, NY",NY,USA
